# Temperature [oC], Vapor Pressure [hPa]
 6.3, 37.1
32.3, 59.7
11.6, 15.9
28.2, 42.7
29.3,  4.9
21.7,  9.3
 1.9, 23.6
22.3, 43.9
30.3, 59.6
11.2, 29.5
18.7,  9.3
 8.0, 23.9
 7.7, 48.5
16.4, 48.7
 0.4, 24.6
 1.1, 53.7
33.6, 28.5
15.0, 41.0
20.0, 44.8
 5.2, 55.1
19.8, 59.3
26.0, 57.0
12.2, 16.0
31.0, 11.5
 3.6, 24.6
11.8, 45.2
21.0, 23.8
13.7, 50.6
28.7, 24.2
32.6, 10.3
23.9, 28.5
 8.6,  1.7
 7.6, 58.5
31.8,  1.3
33.8, 59.2
 6.8,  4.8
11.3, 19.0
26.7, 33.1
14.4, 44.7
 1.3,  2.8
14.1, 47.2
 9.8, 47.4
35.4, 46.9
20.9, 47.2
 8.3, 26.5
 5.8, 21.8
27.5,  6.4
 6.4,  8.5
12.4,  4.7
26.9, 38.4
18.5, 59.4
 0.9, 35.2
28.8, 43.7
27.7,  4.0
35.1, 25.0
21.4, 49.5
37.8, 37.4
 0.1, 58.0
22.1, 11.9
30.5, 21.7
 6.6, 58.5
15.4, 22.0
16.5, 22.9
15.6, 42.0
21.4, 10.0
16.4, 23.3
30.9, 40.6
36.7,  0.2
13.6, 37.4
23.6, 21.2
11.6, 56.2
16.0, 36.0
21.7, 55.3
 4.8, 59.2
 9.4, 33.3
37.0, 53.2
 4.6,  8.4
14.1,  0.6
30.7, 50.4
 3.3, 17.4
36.8,  5.6
34.0, 32.3
13.3, 44.4
36.4, 32.6
35.3, 19.5
10.8,  4.6
21.9, 51.4
24.3,  6.3
 7.5, 35.2
 9.4, 17.0
 2.7, 27.7
13.3, 48.3
36.5, 13.5
37.8, 32.1
32.2, 13.6
30.6, 51.4
 9.4, 10.6
 2.7,  1.4
 8.3, 50.4
 9.3, 52.9
